"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Boraginaceae","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea-type","Cichorioideae","Cistus","Convolvulus","Coriaria myrtifolia","Corylus","Crassulaceae","Cyperaceae","Dipsacoideae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lotus","Lygeum-type","Lythrum","Malvaceae","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potamogeton","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Sparganium-type","Tamarix","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S411755","","6","1","21","","107","","","1","42","","","2","","","","","","21","","","","34","11","","","","","","","","57","2","","","","","","","","","","","","11","1","","25","1","","","","3","2","","","","","","","4","","","11","","","","","","6213","6327","6106"
"S411756","","1","4","39","2","112","","","","46","","","","","","","","","14","","1","1","25","17","","1","","","","","","67","1","","","","","","","","","","","1","3","2","11","37","","1","","","10","4","1","","","","","","10","","","6","","","","","","6247","6361","6138"
"S411757","","5","4","101","4","138","1","","","55","","","","","","","","","1","","2","","32","24","","4","","","","","","84","1","","","","","","","1","","","","","","","2","11","","4","","2","14","6","","","","","","","5","","","2","2","","","","","6291","6405","6180"
"S411758","","3","","38","1","104","","","3","49","","","","","","","","","11","","3","","57","23","","5","","","","","1","66","1","","","","","","","","","","","1","12","","","34","1","1","","","12","","1","","","2","","","12","","","4","1","","","1","","6313","6427","6200"
"S411759","","","","64","10","126","","","","21","","","","","2","","","","21","3","","","38","8","","1","","","","","1","55","3","","","","","","1","","","","4","","2","1","1","11","2","1","","","3","1","","","","","","","7","","","1","","","","","","6340","6454","6225"
"S411760","","","","66","3","143","","","","16","","","","","2","","","","15","","1","","38","5","","5","","","","","1","64","6","","","","","","","","","","3","1","7","","5","22","","","","","2","","","","","","","","8","","","","","","","","","6366","6482","6250"
"S411761","","1","","21","2","83","","1","2","33","","","","","3","","","","19","","12","","29","9","","1","","","","","","12","1","","","","","","","","","","","1","31","","3","20","","","","","8","6","","","","","","1","11","","","","","","1","2","","6393","6509","6275"
"S411762","","","","49","6","128","","","","45","","","","","","","","","14","2","3","","29","18","","5","","","","","","82","2","","","","","","","1","","","","","8","","14","39","1","3","","","7","","1","","","","","","6","","","4","","","","","","6420","6537","6299"
"S411763","","2","2","47","3","149","1","","","34","","","","","","","","","9","","1","","52","31","","2","","","2","","","40","5","","","","","","","1","","","","","2","","4","2","","1","","3","5","1","","","","","","","4","","","2","3","","","","","6446","6565","6324"
"S411764","","1","2","74","2","118","","","","22","","","","","","","","","11","","2","","55","11","","","","","","","","62","","","","","","","","1","","","3","","4","","5","11","","","","","7","10","","","","","","","8","","","5","","","","","","6473","6593","6348"
"S411765","","5","2","31","","212","","","","24","1","","3","","1","","","","11","","2","","31","10","","2","","","","","","38","2","","","","","","","","","","","1","3","4","8","37","1","","","1","1","2","1","","","","","","","","","7","","","","","1","6500","6621","6372"
"S411766","","2","8","32","3","181","","","","17","","","","","","","","","","","2","","36","17","","1","","","","","","35","","","","","","2","","","","","","2","15","1","5","6","","","","2","4","4","","","","","","","6","","","3","1","","","","","6526","6650","6396"
